id,price,price_per_guest,accommodates,room_type,neighbourhood_cleansed,minimum_nights,availability_365,estimated_occupancy_l365d,estimated_revenue_l365d,host_is_superhost,host_response_rate,host_acceptance_rate
988461649564232612,3118.0,779.5,4.0,Entire home/apt,Cuauhtémoc,1.0,338.0,0.0,0.0,t,1.0,1.0
790574637371256111,2303.0,460.6,5.0,Entire home/apt,Cuajimalpa de Morelos,2.0,354.0,120.0,276360.0,f,1.0,0.97
1095230807703509853,1016.0,508.0,2.0,Entire home/apt,Cuauhtémoc,1.0,231.0,180.0,182880.0,f,0.99,1.0
53874611,767.0,255.66666666666663,3.0,Entire home/apt,Benito Juárez,3.0,87.0,6.0,4602.0,f,,0.29
1322438579106987769,855.0,427.5,2.0,Private room,Iztapalapa,1.0,357.0,0.0,0.0,f,0.67,0.5
15528909,680.0,170.0,4.0,Entire home/apt,Tlalpan,2.0,240.0,90.0,61200.0,,1.0,1.0
40289579,948.0,189.6,5.0,Entire home/apt,Iztacalco,1.0,334.0,0.0,0.0,f,0.0,0.0
1286312748959829214,547.0,273.5,2.0,Private room,Venustiano Carranza,1.0,364.0,24.0,13128.0,f,0.8,1.0
505036738249100854,1600.0,533.3333333333334,3.0,Entire home/apt,Cuauhtémoc,2.0,364.0,0.0,0.0,f,,0.0
953895270948412366,1098.0,549.0,2.0,Private room,Coyoacán,1.0,320.0,114.0,125172.0,t,1.0,0.98
21281161,3799.0,316.5833333333333,12.0,Entire home/apt,Cuauhtémoc,1.0,120.0,0.0,0.0,t,1.0,0.99
907819309530832200,1298.0,324.5,4.0,Entire home/apt,Cuauhtémoc,2.0,143.0,255.0,330990.0,t,1.0,0.97
